"state","location","binge_both_sexes_2007","binge_females_2007","binge_males_2007"
"Colorado","San Juan County",27.1,19.5,34.9
"Colorado","Hinsdale County",25.8,18.7,33.2
"Colorado","San Miguel County",25.6,17.9,33.5
"Colorado","Summit County",25.2,18.9,31.9
"Colorado","Pitkin County",24.6,17.7,31.7
"Colorado","Lake County",24.4,18,31
"Colorado","Gunnison County",24.3,15.8,33
"Colorado","Eagle County",23.2,14.2,32.5
"Colorado","Grand County",23.1,14.9,31.6
"Colorado","Routt County",22.9,16.6,29.6
"Colorado","Clear Creek County",22.8,16.9,28.9
"Colorado","Jackson County",22.2,14,30.8
"Colorado","Denver County",22.1,14.9,29.6
"Colorado","Gilpin County",22,15.7,28.6
"Colorado","Garfield County",21.8,13.6,30.4
"Colorado","Ouray County",21.7,13.7,30
"Colorado","Moffat County",21.4,13.9,29.1
"Colorado","Dolores County",20.8,11.7,30.2
"Colorado","La Plata County",20.5,14.6,26.7
"Colorado","Archuleta County",20.3,12.1,28.8
"Colorado","Park County",20.2,14.2,26.5
"Colorado","Rio Blanco County",20.2,11.6,29.2
"Colorado","Huerfano County",19.7,11,28.7
"Colorado","Cheyenne County",19.3,11,28
"Colorado","Custer County",19,11.6,26.7
"Colorado","Montrose County",18.8,11.4,26.5
"Colorado","Larimer County",18.7,12.9,24.8
"Colorado","Delta County",18.6,9.8,27.6
"Colorado","Teller County",18.5,12.4,24.8
"Colorado","Colorado",18.3,12.2,24.7
"Colorado","Las Animas County",18.3,10.1,26.9
"Colorado","Rio Grande County",18.2,9.3,27.4
"Colorado","Chaffee County",18.1,11.7,24.6
"Colorado","Mesa County",18,10.9,25.3
"Colorado","Arapahoe County",17.9,12,24
"Colorado","Mineral County",17.9,11.6,24.5
"Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",17.8,12,23.8
"Colorado","Montezuma County",17.7,10.7,25
"Colorado","Logan County",17.4,11.6,23.3
"Colorado","Saguache County",17.4,9,26
"Colorado","Washington County",17.3,10.8,24.1
"Colorado","Yuma County",17.3,9.6,25.3
"Colorado","Pueblo County",17.1,11.3,23.2
"Colorado","Bent County",17,11.5,22.8
"Colorado","Otero County",16.8,9.1,24.8
"Colorado","Prowers County",16.7,9.5,24.1
"Colorado","Costilla County",16.6,8.1,25.4
"Colorado","Morgan County",16.5,9.1,24.3
"Colorado","Sedgwick County",16.3,10.2,22.6
"Colorado","Fremont County",16.2,10.9,21.7
"Colorado","Elbert County",16.1,11.2,21.2
"Colorado","Douglas County",16,11.4,20.7
"Colorado","Crowley County",15.5,9.4,22
"Colorado","Alamosa County",15.4,8.5,22.6
"Colorado","Kit Carson County",15.2,7.8,22.9
"Colorado","Phillips County",15.2,8.4,22.2
"Colorado","El Paso County",15.1,9.8,20.7
"Colorado","Baca County",15,9,21.2
"Colorado","Lincoln County",14.8,9.1,20.7
"Colorado","Conejos County",12.3,6.4,18.5
"Colorado","Kiowa County",9.4,4.8,14.2
